uid;name;span;source;code;summary
"PARAGRAPH:::CBLDB22:::GET-ALL";"GET-ALL";"9181:10205";"/cbl/CBLDB22.cbl";"       GET-ALL.                                                         \n                EXEC SQL OPEN CUR1  END-EXEC.                           \n                IF SQLCODE NOT = 0 THEN\n                   MOVE 'OPEN CUR1' TO UD-ERROR-MESSAGE\n                   PERFORM SQL-ERROR-HANDLING\n                END-IF\n                EXEC SQL FETCH CUR1  INTO :CUSTOMER-RECORD END-EXEC.    \n                PERFORM PRINT-ALL                                    \n                     UNTIL SQLCODE IS NOT EQUAL TO ZERO.                \n                IF SQLCODE NOT = 100 THEN\n                   MOVE 'FETCH CUR1' TO UD-ERROR-MESSAGE\n                   PERFORM SQL-ERROR-HANDLING\n                END-IF\n                EXEC SQL CLOSE CUR1  END-EXEC.                          \n                IF SQLCODE NOT = 0 THEN\n                   MOVE 'CLOSE CUR1' TO UD-ERROR-MESSAGE\n                   PERFORM SQL-ERROR-HANDLING\n                END-IF\n                .\n                                                                        ";"This paragraph retrieves all customer records from a database using a cursor. It opens a cursor named `CUR1`, then repeatedly fetches records into `CUSTOMER-RECORD` until no more records are found. After fetching, it closes the cursor. Error handling is performed after each database operation (open, fetch, close) by checking `SQLCODE` and calling `SQL-ERROR-HANDLING` if an error occurs."
"PARAGRAPH:::CBLDB22:::GET-SPECIFIC";"GET-SPECIFIC";"10498:11522";"/cbl/CBLDB22.cbl";"       GET-SPECIFIC.                                                    \n                EXEC SQL OPEN  CUR2  END-EXEC.                          \n                IF SQLCODE NOT = 0 THEN\n                   MOVE 'OPEN CUR2' TO UD-ERROR-MESSAGE\n                   PERFORM SQL-ERROR-HANDLING\n                END-IF\n                EXEC SQL FETCH CUR2  INTO :CUSTOMER-RECORD END-EXEC.    \n                PERFORM PRINT-SPECIFIC                               \n                     UNTIL SQLCODE IS NOT EQUAL TO ZERO.                \n                IF SQLCODE NOT = 100 THEN\n                   MOVE 'FETCH CUR2' TO UD-ERROR-MESSAGE\n                   PERFORM SQL-ERROR-HANDLING\n                END-IF\n                EXEC SQL CLOSE CUR2  END-EXEC.                          \n                IF SQLCODE NOT = 0 THEN\n                   MOVE 'CLOSE CUR2' TO UD-ERROR-MESSAGE\n                   PERFORM SQL-ERROR-HANDLING\n                END-IF\n                .\n                                                                        ";"This paragraph is responsible for accessing specific data from a database using a cursor.\n\nIt first opens a database cursor named `CUR2`. It then performs an initial fetch of data into the `CUSTOMER-RECORD` variable. Following this, it repeatedly calls the `PRINT-SPECIFIC` routine, presumably to process or display fetched records, until no more records are found or an error occurs. Finally, it closes the cursor. Error handling is integrated throughout, checking the SQL status after each database operation (open, fetch, close) and calling an error routine if any issues arise."
"PARAGRAPH:::CBLDB22:::PRINT-A-LINE";"PRINT-A-LINE";"11815:12405";"/cbl/CBLDB22.cbl";"       PRINT-A-LINE.                                                    \n                MOVE  ACCT-NO      TO  ACCT-NO-O.                       \n                MOVE  ACCT-LIMIT   TO  ACCT-LIMIT-O.                    \n                MOVE  ACCT-BALANCE TO  ACCT-BALANCE-O.                  \n                MOVE  ACCT-LASTN   TO  ACCT-LASTN-O.                    \n                MOVE  ACCT-FIRSTN  TO  ACCT-FIRSTN-O.                   \n                MOVE  ACCT-COMMENT TO  ACCT-COMMENT-O.                  \n                WRITE REPREC AFTER ADVANCING 2 LINES.                   \n      ";"This paragraph prepares account-related data for output by moving various account details (account number, limit, balance, last name, first name, and comment) to corresponding output fields. After preparing the data, it writes a record to a file or printer, advancing two lines before printing."
"PARAGRAPH:::CBLDB22:::PRINT-ALL";"PRINT-ALL";"10206:10497";"/cbl/CBLDB22.cbl";"       PRINT-ALL.                                                       \n                PERFORM PRINT-A-LINE.                                   \n                EXEC SQL FETCH CUR1  INTO :CUSTOMER-RECORD END-EXEC.    \n                                                                        ";"This paragraph first calls another routine to print a line. Afterwards, it retrieves the next available record from a database cursor named `CUR1` and stores this data into the `CUSTOMER-RECORD` variable."
"PARAGRAPH:::CBLDB22:::PRINT-SPECIFIC";"PRINT-SPECIFIC";"11523:11814";"/cbl/CBLDB22.cbl";"       PRINT-SPECIFIC.                                                  \n                PERFORM PRINT-A-LINE.                                   \n                EXEC SQL FETCH CUR2  INTO :CUSTOMER-RECORD END-EXEC.    \n                                                                        ";"This paragraph first executes another paragraph named `PRINT-A-LINE`. Afterwards, it fetches a record from a database using a cursor named `CUR2` and stores the retrieved data into the `CUSTOMER-RECORD` variable."
"PARAGRAPH:::CBLDB22:::PROCESS-INPUT";"PROCESS-INPUT";"8618:9180";"/cbl/CBLDB22.cbl";"       PROCESS-INPUT.                                                   \n                IF LNAME = '*'                                          \n                   PERFORM GET-ALL                                      \n                ELSE                                                    \n                   PERFORM GET-SPECIFIC.                                \n                READ RECIN  RECORD INTO IOAREA                          \n                   AT END SET NOMORE-INPUT TO TRUE.\n                                                                        ";"This paragraph first checks if the `LNAME` variable contains an asterisk (`'*'`). If it does, it executes the `GET-ALL` routine; otherwise, it executes the `GET-SPECIFIC` routine. Following this, it reads a record from the `RECIN` file into the `IOAREA` and sets a flag (`NOMORE-INPUT`) if it reaches the end of the file."
"PARAGRAPH:::CBLDB22:::PROG-END";"PROG-END";"8253:8617";"/cbl/CBLDB22.cbl";"       PROG-END.                                                        \n                CLOSE RECIN                                             \n                      REPOUT.                                           \n                GOBACK.                                                 \n                                                                        ";"This paragraph is responsible for closing the input file `RECIN` and the output report file `REPOUT`. After closing the files, it terminates the program and returns control to the calling program or system."
"PARAGRAPH:::CBLDB22:::PROG-START";"PROG-START";"7690:8252";"/cbl/CBLDB22.cbl";"       PROG-START.                                                      \n                OPEN INPUT  RECIN.                                      \n                OPEN OUTPUT REPOUT.                                     \n                READ RECIN  RECORD INTO IOAREA                          \n                   AT END SET NOMORE-INPUT TO TRUE.\n                PERFORM PROCESS-INPUT                                   \n                   UNTIL NOMORE-INPUT.                                  \n                                                                        ";"This paragraph initializes the program's main processing loop. It opens the input file `RECIN` and the output file `REPOUT`. It then reads the very first record from `RECIN` into `IOAREA`, setting a flag if no records are found. Finally, it repeatedly executes the `PROCESS-INPUT` paragraph until all records from the input file have been processed."
"PARAGRAPH:::CBLDB22:::SQL-ERROR-HANDLING";"SQL-ERROR-HANDLING";"12406:12983";"/cbl/CBLDB22.cbl";"       SQL-ERROR-HANDLING.\n           DISPLAY 'ERROR AT ' FUNCTION TRIM(UD-ERROR-MESSAGE, TRAILING)\n           CALL 'DSNTIAR' USING SQLCA ERROR-MESSAGE ERROR-TEXT-LEN.\n           PERFORM VARYING ERROR-INDEX FROM 1 BY 1\n                     UNTIL ERROR-INDEX > ERROR-TEXT-HBOUND\n                        OR ERROR-TEXT(ERROR-INDEX) = SPACES\n              DISPLAY FUNCTION TRIM(ERROR-TEXT(ERROR-INDEX), TRAILING)\n           END-PERFORM\n           IF SQLCODE NOT = 0 AND SQLCODE NOT = 100\n              MOVE 1000 TO RETURN-CODE\n              STOP RUN\n           END-IF\n           .\n";"This COBOL paragraph, `SQL-ERROR-HANDLING`, is designed to process and display information related to SQL errors. It first displays a general error message, then calls a DB2 utility to retrieve more detailed SQL error text. This detailed error text is then displayed line by line. Finally, if a significant SQL error (other than a successful or \"not found\" status) has occurred, the program sets a return code and terminates execution."
"PARAGRAPH:::CBLDB22:::__unnamed_paragraph__";"__unnamed_paragraph__";"7471:7690";"/cbl/CBLDB22.cbl";"                                                                        \n       PROCEDURE DIVISION.                                              \n                                                                        \n";"This code snippet marks the beginning of the program's `PROCEDURE DIVISION`, which is where the main executable logic of the COBOL program is defined."
