uid;name;span;source;code
"VARIABLE:::CBLDB22:::ACCT-ADDR1";"ACCT-ADDR1";"7106:7178";"/cbl/CBLDB22.cbl";"          02 ACCT-ADDR1         PIC X(25).                              "
"VARIABLE:::CBLDB22:::ACCT-ADDR2";"ACCT-ADDR2";"7179:7251";"/cbl/CBLDB22.cbl";"          02 ACCT-ADDR2         PIC X(20).                              "
"VARIABLE:::CBLDB22:::ACCT-ADDR3";"ACCT-ADDR3";"7252:7324";"/cbl/CBLDB22.cbl";"          02 ACCT-ADDR3         PIC X(15).                              "
"VARIABLE:::CBLDB22:::ACCT-BALANCE";"ACCT-BALANCE";"6887:6959";"/cbl/CBLDB22.cbl";"          02 ACCT-BALANCE       PIC S9(7)V99 COMP-3.                    "
"VARIABLE:::CBLDB22:::ACCT-BALANCE-O";"ACCT-BALANCE-O";"1995:2067";"/cbl/CBLDB22.cbl";"           05  ACCT-BALANCE-O PIC $$,$$$,$$9.99.                        "
"VARIABLE:::CBLDB22:::ACCT-COMMENT";"ACCT-COMMENT";"7398:7470";"/cbl/CBLDB22.cbl";"          02 ACCT-COMMENT       PIC X(50).                              "
"VARIABLE:::CBLDB22:::ACCT-COMMENT-O";"ACCT-COMMENT-O";"2214:2286";"/cbl/CBLDB22.cbl";"           05  ACCT-COMMENT-O PIC X(50).                                "
"VARIABLE:::CBLDB22:::ACCT-FIRSTN";"ACCT-FIRSTN";"7033:7105";"/cbl/CBLDB22.cbl";"          02 ACCT-FIRSTN        PIC X(15).                              "
"VARIABLE:::CBLDB22:::ACCT-FIRSTN-O";"ACCT-FIRSTN-O";"2141:2213";"/cbl/CBLDB22.cbl";"           05  ACCT-FIRSTN-O  PIC X(15).                                "
"VARIABLE:::CBLDB22:::ACCT-LASTN";"ACCT-LASTN";"6960:7032";"/cbl/CBLDB22.cbl";"          02 ACCT-LASTN         PIC X(20).                              "
"VARIABLE:::CBLDB22:::ACCT-LASTN-O";"ACCT-LASTN-O";"2068:2140";"/cbl/CBLDB22.cbl";"           05  ACCT-LASTN-O   PIC X(20).                                "
"VARIABLE:::CBLDB22:::ACCT-LIMIT";"ACCT-LIMIT";"6814:6886";"/cbl/CBLDB22.cbl";"          02 ACCT-LIMIT         PIC S9(7)V99 COMP-3.                    "
"VARIABLE:::CBLDB22:::ACCT-LIMIT-O";"ACCT-LIMIT-O";"1922:1994";"/cbl/CBLDB22.cbl";"           05  ACCT-LIMIT-O   PIC $$,$$$,$$9.99.                        "
"VARIABLE:::CBLDB22:::ACCT-NO";"ACCT-NO";"6741:6813";"/cbl/CBLDB22.cbl";"          02 ACCT-NO            PIC X(8).                               "
"VARIABLE:::CBLDB22:::ACCT-NO-O";"ACCT-NO-O";"1849:1921";"/cbl/CBLDB22.cbl";"           05  ACCT-NO-O      PIC X(8).                                 "
