src_uid;dst_uid;level
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-ADDR1";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-ADDR2";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-ADDR3";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-BALANCE";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-COMMENT";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-FIRSTN";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-LASTN";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-LIMIT";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-NO";"02"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-RSRVD";"02"
"VARIABLE:::CBLDB22:::ERROR-MESSAGE";"VARIABLE:::CBLDB22:::ERROR-LEN";"02"
"VARIABLE:::CBLDB22:::ERROR-MESSAGE";"VARIABLE:::CBLDB22:::ERROR-TEXT";"02"
"VARIABLE:::CBLDB22:::IOAREA";"VARIABLE:::CBLDB22:::LNAME";"02"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-BALANCE-O";"05"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-COMMENT-O";"05"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-FIRSTN-O";"05"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-LASTN-O";"05"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-LIMIT-O";"05"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-NO-O";"05"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-ADDR1";"02"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-ADDR2";"02"
