src_uid;dst_uid
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"DATASET:::CBLDB21:::REPOUT"
"PARAGRAPH:::CBLDB21:::PROG-END";"DATASET:::CBLDB21:::REPOUT"
"PARAGRAPH:::CBLDB21:::PROG-START";"DATASET:::CBLDB21:::REPOUT"
"PROGRAM:::CBLDB21:::CBLDB21";"DATABASE:::CBLDB21:::Z#####T"
"PROGRAM:::CBLDB21:::CBLDB21";"DATASET:::CBLDB21:::REPOUT"
"PARAGRAPH:::CBLDB23:::PRINT-A-LINE";"DATASET:::CBLDB23:::REPOUT"
"PARAGRAPH:::CBLDB23:::PROCESS-INPUT";"DATASET:::CBLDB23:::CARDIN"
"PARAGRAPH:::CBLDB23:::PROG-START";"DATASET:::CBLDB23:::CARDIN"
"PARAGRAPH:::CBLDB23:::PROG-START";"DATASET:::CBLDB23:::REPOUT"
"PROGRAM:::CBLDB23:::CBLDB23";"DATABASE:::CBLDB23:::Z#####T"
"PROGRAM:::CBLDB23:::CBLDB23";"DATASET:::CBLDB23:::CARDIN"
"PROGRAM:::CBLDB23:::CBLDB23";"DATASET:::CBLDB23:::REPOUT"
"PARAGRAPH:::CBLDB22:::PRINT-A-LINE";"DATASET:::CBLDB22:::REPOUT"
"PARAGRAPH:::CBLDB22:::PROCESS-INPUT";"DATASET:::CBLDB22:::RECIN"
"PARAGRAPH:::CBLDB22:::PROG-END";"DATASET:::CBLDB22:::RECIN"
"PARAGRAPH:::CBLDB22:::PROG-END";"DATASET:::CBLDB22:::REPOUT"
"PARAGRAPH:::CBLDB22:::PROG-START";"DATASET:::CBLDB22:::RECIN"
"PARAGRAPH:::CBLDB22:::PROG-START";"DATASET:::CBLDB22:::REPOUT"
"PROGRAM:::CBLDB22:::CBLDB22";"DATABASE:::CBLDB22:::Z#####T"
"PROGRAM:::CBLDB22:::CBLDB22";"DATASET:::CBLDB22:::RECIN"
"PROGRAM:::CBLDB22:::CBLDB22";"DATASET:::CBLDB22:::REPOUT"
