src_uid;dst_uid
"PARAGRAPH:::CBLDB21:::LIST-ALL";"VARIABLE:::CBLDB21:::CUSTOMER-RECORD"
"PARAGRAPH:::CBLDB21:::LIST-ALL";"VARIABLE:::CBLDB21:::UD-ERROR-MESSAGE"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-BALANCE"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-BALANCE-O"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-COMMENT"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-COMMENT-O"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-FIRSTN"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-FIRSTN-O"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-LASTN"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-LASTN-O"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-LIMIT"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-LIMIT-O"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-NO"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::ACCT-NO-O"
"PARAGRAPH:::CBLDB21:::PRINT-A-LINE";"VARIABLE:::CBLDB21:::REPREC"
"PARAGRAPH:::CBLDB21:::PRINT-AND-GET1";"VARIABLE:::CBLDB21:::CUSTOMER-RECORD"
"PARAGRAPH:::CBLDB21:::SQL-ERROR-HANDLING";"VARIABLE:::CBLDB21:::ERROR-MESSAGE"
"PARAGRAPH:::CBLDB21:::SQL-ERROR-HANDLING";"VARIABLE:::CBLDB21:::ERROR-TEXT"
"PARAGRAPH:::CBLDB21:::SQL-ERROR-HANDLING";"VARIABLE:::CBLDB21:::ERROR-TEXT-HBOUND"
"PARAGRAPH:::CBLDB21:::SQL-ERROR-HANDLING";"VARIABLE:::CBLDB21:::ERROR-TEXT-LEN"
"PARAGRAPH:::CBLDB21:::SQL-ERROR-HANDLING";"VARIABLE:::CBLDB21:::UD-ERROR-MESSAGE"
"PARAGRAPH:::CBLDB23:::GET-ALL";"VARIABLE:::CBLDB23:::CUSTOMER-RECORD"
"PARAGRAPH:::CBLDB23:::GET-ALL";"VARIABLE:::CBLDB23:::UD-ERROR-MESSAGE"
