uid;name;span;source;code
"VARIABLE:::CBCUS01CFAKE:::ABCODE";"ABCODE";"3078:3130";"/CBCUS01CFAKE.cbl";"       01  ABCODE                  PIC S9(9) BINARY."
"VARIABLE:::CBCUS01CFAKE:::APPL-AOK";"APPL-AOK";"2929:2972";"/CBCUS01CFAKE.cbl";"           88  APPL-AOK            VALUE 0."
"VARIABLE:::CBCUS01CFAKE:::APPL-EOF";"APPL-EOF";"2973:3017";"/CBCUS01CFAKE.cbl";"           88  APPL-EOF            VALUE 16."
"VARIABLE:::CBCUS01CFAKE:::APPL-RESULT";"APPL-RESULT";"2875:2928";"/CBCUS01CFAKE.cbl";"\n       01  APPL-RESULT             PIC S9(9)   COMP."
"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STAT1";"CUSTFILE-STAT1";"2356:2397";"/CBCUS01CFAKE.cbl";"           05  CUSTFILE-STAT1      PIC X."
"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STAT2";"CUSTFILE-STAT2";"2398:2439";"/CBCUS01CFAKE.cbl";"           05  CUSTFILE-STAT2      PIC X."
"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STATUS";"CUSTFILE-STATUS";"2328:2355";"/CBCUS01CFAKE.cbl";"       01  CUSTFILE-STATUS."
"VARIABLE:::CBCUS01CFAKE:::END-OF-FILE";"END-OF-FILE";"3018:3077";"/CBCUS01CFAKE.cbl";"\n       01  END-OF-FILE             PIC X(01)    VALUE 'N'."
"VARIABLE:::CBCUS01CFAKE:::FD-CUST-DATA";"FD-CUST-DATA";"2114:2173";"/CBCUS01CFAKE.cbl";"           05 FD-CUST-DATA                      PIC X(491)."
"VARIABLE:::CBCUS01CFAKE:::FD-CUST-ID";"FD-CUST-ID";"2055:2113";"/CBCUS01CFAKE.cbl";"           05 FD-CUST-ID                        PIC 9(09)."
"VARIABLE:::CBCUS01CFAKE:::FD-CUSTFILE-REC";"FD-CUSTFILE-REC";"2027:2054";"/CBCUS01CFAKE.cbl";"       01  FD-CUSTFILE-REC."
"VARIABLE:::CBCUS01CFAKE:::IO-STAT1";"IO-STAT1";"2463:2504";"/CBCUS01CFAKE.cbl";"           05  IO-STAT1            PIC X."
"VARIABLE:::CBCUS01CFAKE:::IO-STAT2";"IO-STAT2";"2505:2546";"/CBCUS01CFAKE.cbl";"           05  IO-STAT2            PIC X."
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS";"IO-STATUS";"2440:2462";"/CBCUS01CFAKE.cbl";"\n       01  IO-STATUS."
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-04";"IO-STATUS-04";"2746:2770";"/CBCUS01CFAKE.cbl";"       01  IO-STATUS-04."
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-0401";"IO-STATUS-0401";"2771:2822";"/CBCUS01CFAKE.cbl";"           05  IO-STATUS-0401      PIC 9   VALUE 0."
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-0403";"IO-STATUS-0403";"2823:2874";"/CBCUS01CFAKE.cbl";"           05  IO-STATUS-0403      PIC 999 VALUE 0."
"VARIABLE:::CBCUS01CFAKE:::TIMING";"TIMING";"3131:3184";"/CBCUS01CFAKE.cbl";"       01  TIMING                  PIC S9(9) BINARY. "
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-ALPHA";"TWO-BYTES-ALPHA";"2599:2661";"/CBCUS01CFAKE.cbl";"       01  TWO-BYTES-ALPHA         REDEFINES TWO-BYTES-BINARY."
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-BINARY";"TWO-BYTES-BINARY";"2547:2598";"/CBCUS01CFAKE.cbl";"       01  TWO-BYTES-BINARY        PIC 9(4) BINARY."
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-LEFT";"TWO-BYTES-LEFT";"2662:2703";"/CBCUS01CFAKE.cbl";"           05  TWO-BYTES-LEFT      PIC X."
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-RIGHT";"TWO-BYTES-RIGHT";"2704:2745";"/CBCUS01CFAKE.cbl";"           05  TWO-BYTES-RIGHT     PIC X."
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"CUSTOMER-RECORD";"0:229";"/CVCUS01Y.cpy";"                                                                       \n                                                         \n                                                                       \n       01  CUSTOMER-RECORD."
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"CUSTOMER-RECORD2";"0:230";"/CVCUS01YFAKE.cpy";"                                                                       \n                                                         \n                                                                       \n       01  CUSTOMER-RECORD2."
"VARIABLE:::CBCUS01C:::ABCODE";"ABCODE";"3070:3122";"/CBCUS01C.cbl";"       01  ABCODE                  PIC S9(9) BINARY."
"VARIABLE:::CBCUS01C:::APPL-AOK";"APPL-AOK";"2921:2964";"/CBCUS01C.cbl";"           88  APPL-AOK            VALUE 0."
"VARIABLE:::CBCUS01C:::APPL-EOF";"APPL-EOF";"2965:3009";"/CBCUS01C.cbl";"           88  APPL-EOF            VALUE 16."
"VARIABLE:::CBCUS01C:::APPL-RESULT";"APPL-RESULT";"2867:2920";"/CBCUS01C.cbl";"\n       01  APPL-RESULT             PIC S9(9)   COMP."
"VARIABLE:::CBCUS01C:::CUSTFILE-STAT1";"CUSTFILE-STAT1";"2348:2389";"/CBCUS01C.cbl";"           05  CUSTFILE-STAT1      PIC X."
"VARIABLE:::CBCUS01C:::CUSTFILE-STAT2";"CUSTFILE-STAT2";"2390:2431";"/CBCUS01C.cbl";"           05  CUSTFILE-STAT2      PIC X."
"VARIABLE:::CBCUS01C:::CUSTFILE-STATUS";"CUSTFILE-STATUS";"2320:2347";"/CBCUS01C.cbl";"       01  CUSTFILE-STATUS."
"VARIABLE:::CBCUS01C:::END-OF-FILE";"END-OF-FILE";"3010:3069";"/CBCUS01C.cbl";"\n       01  END-OF-FILE             PIC X(01)    VALUE 'N'."
"VARIABLE:::CBCUS01C:::FD-CUST-DATA";"FD-CUST-DATA";"2106:2165";"/CBCUS01C.cbl";"           05 FD-CUST-DATA                      PIC X(491)."
