src_uid;dst_uid
"COPYBOOK:::CVCUS01Y:::CVCUS01Y";"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::ABCODE"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::APPL-AOK"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::APPL-EOF"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::APPL-RESULT"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STAT1"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STAT2"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STATUS"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::END-OF-FILE"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::FD-CUST-DATA"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::FD-CUST-ID"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::FD-CUSTFILE-REC"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::IO-STAT1"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::IO-STAT2"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::IO-STATUS"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-04"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-0401"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-0403"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"VARIABLE:::CBCUS01CFAKE:::TIMING"
