src_uid;dst_uid;level
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-COUNTRY-CD";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-LINE-1";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-LINE-2";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-LINE-3";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-STATE-CD";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-ZIP";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-DOB-YYYY-MM-DD";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-EFT-ACCOUNT-ID";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-FICO-CREDIT-SCORE";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-FIRST-NAME";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-GOVT-ISSUED-ID";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ID";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-LAST-NAME";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-MIDDLE-NAME";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-PHONE-NUM-1";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-PHONE-NUM-2";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-PRI-CARD-HOLDER-IND";"05"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-SSN";"05"
"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STATUS";"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STAT1";"05"
"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STATUS";"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STAT2";"05"
"VARIABLE:::CBCUS01CFAKE:::FD-CUSTFILE-REC";"VARIABLE:::CBCUS01CFAKE:::FD-CUST-DATA";"05"
"VARIABLE:::CBCUS01CFAKE:::FD-CUSTFILE-REC";"VARIABLE:::CBCUS01CFAKE:::FD-CUST-ID";"05"
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS";"VARIABLE:::CBCUS01CFAKE:::IO-STAT1";"05"
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS";"VARIABLE:::CBCUS01CFAKE:::IO-STAT2";"05"
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-04";"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-0401";"05"
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-04";"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-0403";"05"
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-ALPHA";"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-LEFT";"05"
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-ALPHA";"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-RIGHT";"05"
"VARIABLE:::CBCUS01C:::CUSTFILE-STATUS";"VARIABLE:::CBCUS01C:::CUSTFILE-STAT1";"05"
"VARIABLE:::CBCUS01C:::CUSTFILE-STATUS";"VARIABLE:::CBCUS01C:::CUSTFILE-STAT2";"05"
"VARIABLE:::CBCUS01C:::FD-CUSTFILE-REC";"VARIABLE:::CBCUS01C:::FD-CUST-DATA";"05"
"VARIABLE:::CBCUS01C:::FD-CUSTFILE-REC";"VARIABLE:::CBCUS01C:::FD-CUST-ID";"05"
"VARIABLE:::CBCUS01C:::IO-STATUS";"VARIABLE:::CBCUS01C:::IO-STAT1";"05"
"VARIABLE:::CBCUS01C:::IO-STATUS";"VARIABLE:::CBCUS01C:::IO-STAT2";"05"
"VARIABLE:::CBCUS01C:::IO-STATUS-04";"VARIABLE:::CBCUS01C:::IO-STATUS-0401";"05"
"VARIABLE:::CBCUS01C:::IO-STATUS-04";"VARIABLE:::CBCUS01C:::IO-STATUS-0403";"05"
"VARIABLE:::CBCUS01C:::TWO-BYTES-ALPHA";"VARIABLE:::CBCUS01C:::TWO-BYTES-LEFT";"05"
"VARIABLE:::CBCUS01C:::TWO-BYTES-ALPHA";"VARIABLE:::CBCUS01C:::TWO-BYTES-RIGHT";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-ADDR-COUNTRY-CD";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-ADDR-LINE-1";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-ADDR-LINE-2";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-ADDR-LINE-3";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-ADDR-STATE-CD";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-ADDR-ZIP";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-DOB-YYYY-MM-DD";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-EFT-ACCOUNT-ID";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-FICO-CREDIT-SCORE";"05"
