src_uid;dst_uid;kind
"VARIABLE:::CBCUS01C:::APPL-RESULT";"VARIABLE:::CBCUS01C:::APPL-AOK";"condition"
"VARIABLE:::CBCUS01C:::APPL-RESULT";"VARIABLE:::CBCUS01C:::APPL-EOF";"condition"
"VARIABLE:::CBCUS01C:::CUSTFILE-STATUS";"VARIABLE:::CBCUS01C:::CUSTFILE-STAT1";"child"
"VARIABLE:::CBCUS01C:::CUSTFILE-STATUS";"VARIABLE:::CBCUS01C:::CUSTFILE-STAT2";"child"
"VARIABLE:::CBCUS01C:::FD-CUSTFILE-REC";"VARIABLE:::CBCUS01C:::FD-CUST-DATA";"child"
"VARIABLE:::CBCUS01C:::FD-CUSTFILE-REC";"VARIABLE:::CBCUS01C:::FD-CUST-ID";"child"
"VARIABLE:::CBCUS01C:::IO-STATUS";"VARIABLE:::CBCUS01C:::IO-STAT1";"child"
"VARIABLE:::CBCUS01C:::IO-STATUS";"VARIABLE:::CBCUS01C:::IO-STAT2";"child"
"VARIABLE:::CBCUS01C:::IO-STATUS-04";"VARIABLE:::CBCUS01C:::IO-STATUS-0401";"child"
"VARIABLE:::CBCUS01C:::IO-STATUS-04";"VARIABLE:::CBCUS01C:::IO-STATUS-0403";"child"
"VARIABLE:::CBCUS01C:::TWO-BYTES-ALPHA";"VARIABLE:::CBCUS01C:::TWO-BYTES-LEFT";"child"
"VARIABLE:::CBCUS01C:::TWO-BYTES-ALPHA";"VARIABLE:::CBCUS01C:::TWO-BYTES-RIGHT";"child"
"VARIABLE:::CBCUS01C:::TWO-BYTES-BINARY";"VARIABLE:::CBCUS01C:::TWO-BYTES-ALPHA";"redefinition"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-COUNTRY-CD";"child"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-LINE-1";"child"
"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-LINE-2";"child"
