src_uid;dst_uid
"PARAGRAPH:::CBCUS01CFAKE:::0000-CUSTFILE-OPEN";"PARAGRAPH:::CBCUS01CFAKE:::Z-ABEND-PROGRAM"
"PARAGRAPH:::CBCUS01CFAKE:::0000-CUSTFILE-OPEN";"PARAGRAPH:::CBCUS01CFAKE:::Z-DISPLAY-IO-STATUS"
"PARAGRAPH:::CBCUS01CFAKE:::1000-CUSTFILE-GET-NEXT";"PARAGRAPH:::CBCUS01CFAKE:::Z-ABEND-PROGRAM"
"PARAGRAPH:::CBCUS01CFAKE:::1000-CUSTFILE-GET-NEXT";"PARAGRAPH:::CBCUS01CFAKE:::Z-DISPLAY-IO-STATUS"
"PARAGRAPH:::CBCUS01CFAKE:::9000-CUSTFILE-CLOSE";"PARAGRAPH:::CBCUS01CFAKE:::Z-ABEND-PROGRAM"
"PARAGRAPH:::CBCUS01CFAKE:::9000-CUSTFILE-CLOSE";"PARAGRAPH:::CBCUS01CFAKE:::Z-DISPLAY-IO-STATUS"
"PARAGRAPH:::CBCUS01CFAKE:::__unnamed_paragraph__";"PARAGRAPH:::CBCUS01CFAKE:::0000-CUSTFILE-OPEN"
"PARAGRAPH:::CBCUS01CFAKE:::__unnamed_paragraph__";"PARAGRAPH:::CBCUS01CFAKE:::1000-CUSTFILE-GET-NEXT"
"PARAGRAPH:::CBCUS01CFAKE:::__unnamed_paragraph__";"PARAGRAPH:::CBCUS01CFAKE:::9000-CUSTFILE-CLOSE"
"PARAGRAPH:::CBCUS01C:::0000-CUSTFILE-OPEN";"PARAGRAPH:::CBCUS01C:::Z-ABEND-PROGRAM"
"PARAGRAPH:::CBCUS01C:::0000-CUSTFILE-OPEN";"PARAGRAPH:::CBCUS01C:::Z-DISPLAY-IO-STATUS"
"PARAGRAPH:::CBCUS01C:::1000-CUSTFILE-GET-NEXT";"PARAGRAPH:::CBCUS01C:::Z-ABEND-PROGRAM"
"PARAGRAPH:::CBCUS01C:::1000-CUSTFILE-GET-NEXT";"PARAGRAPH:::CBCUS01C:::Z-DISPLAY-IO-STATUS"
"PARAGRAPH:::CBCUS01C:::9000-CUSTFILE-CLOSE";"PARAGRAPH:::CBCUS01C:::Z-ABEND-PROGRAM"
"PARAGRAPH:::CBCUS01C:::9000-CUSTFILE-CLOSE";"PARAGRAPH:::CBCUS01C:::Z-DISPLAY-IO-STATUS"
"PARAGRAPH:::CBCUS01C:::__unnamed_paragraph__";"PARAGRAPH:::CBCUS01C:::0000-CUSTFILE-OPEN"
"PARAGRAPH:::CBCUS01C:::__unnamed_paragraph__";"PARAGRAPH:::CBCUS01C:::1000-CUSTFILE-GET-NEXT"
"PARAGRAPH:::CBCUS01C:::__unnamed_paragraph__";"PARAGRAPH:::CBCUS01C:::9000-CUSTFILE-CLOSE"
